

Course,Hours,Professor,Hall
Architecture of computer systems,15:45 - 18:15,dr Jan Madej,online
Digital data formats,13:15 - 15:45,mgr Svitlana Didkivska,Paw.A 09
Mathematical analysis and linear algebra,15:45 - 18:15,prof.UEK dr Krzysztof Guzik,Paw.F 104
Basics of programming,15:45 - 18:15,Ryszard Krupiel,Paw.F 107
Theoretical foundations of computer science,08:00 - 10:30,mgr Katarzyna Wójcik,Paw.A 122
